"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
1.51999998092651,1.51999998092651,1.49000000953674,1.5,7952134,1.5,2010-02-22,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.49000000953674,1.49000000953674,1.44000005722046,1.45000004768372,12912440,1.45000004768372,2010-02-23,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-3.33333015441895
1.44000005722046,1.44000005722046,1.37999999523163,1.4099999666214,16983560,1.4099999666214,2010-02-24,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-2.75862618944148
1.41999995708466,1.42999994754791,1.38999998569489,1.42999994754791,12582520,1.42999994754791,2010-02-25,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",1.41843839716089
NA,NA,NA,NA,NA,NA,2010-02-26,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
NA,NA,NA,NA,NA,NA,2010-03-01,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.46000003814697,1.46000003814697,1.42999994754791,1.44000005722046,10507010,1.44000005722046,2010-03-02,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.44000005722046,1.44000005722046,1.39999997615814,1.4099999666214,8814842,1.4099999666214,2010-03-03,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-2.08333954215025
1.39999997615814,1.4099999666214,1.38999998569489,1.4099999666214,7660596,1.4099999666214,2010-03-04,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",0
NA,NA,NA,NA,NA,NA,2010-03-05,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
NA,NA,NA,NA,NA,NA,2010-03-08,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.49000000953674,1.60000002384186,1.48000001907349,1.54999995231628,73664330,1.54999995231628,2010-03-09,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.57000005245209,1.62000000476837,1.54999995231628,1.5900000333786,58932980,1.5900000333786,2010-03-10,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",2.58065047050754
1.5900000333786,1.70000004768372,1.5900000333786,1.6599999666214,122658300,1.6599999666214,2010-03-11,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",4.40251143228309
NA,NA,NA,NA,NA,NA,2010-03-12,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
NA,NA,NA,NA,NA,NA,2010-03-15,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.79999995231628,1.85000002384186,1.75999999046326,1.79999995231628,108234200,1.79999995231628,2010-03-16,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.85000002384186,1.87999999523163,1.71000003814697,1.71000003814697,86505570,1.71000003814697,2010-03-17,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-4.99999536408306
1.72000002861023,1.77999997138977,1.71000003814697,1.74000000953674,45043920,1.74000000953674,2010-03-18,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",1.75438425266234
NA,NA,NA,NA,NA,NA,2010-03-19,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.86000001430511,1.87000000476837,1.79999995231628,1.80999994277954,57747920,1.80999994277954,2010-03-22,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.82000005245209,1.86000001430511,1.79999995231628,1.83000004291534,36961100,1.83000004291534,2010-03-23,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",1.10497794298766
1.83000004291534,1.83000004291534,1.75999999046326,1.79999995231628,29770000,1.79999995231628,2010-03-24,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-1.639349174619
1.82000005245209,1.97000002861023,1.82000005245209,1.94000005722046,169054100,1.94000005722046,2010-03-25,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",7.7777838118284
NA,NA,NA,NA,NA,NA,2010-03-26,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.98000001907349,2,1.94000005722046,1.97000002861023,86426060,1.97000002861023,2010-03-29,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",NA
1.87999999523163,1.91999995708466,1.87999999523163,1.9099999666214,30658900,1.9099999666214,2010-03-30,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-3.04568838159655
1.91999995708466,1.95000004768372,1.87999999523163,1.89999997615814,31694800,1.89999997615814,2010-03-31,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",-0.523559719267735
1.88999998569489,1.92999994754791,1.87000000476837,1.91999995708466,27458870,1.91999995708466,2010-04-01,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",1.05263058828844
1.95000004768372,2.02999997138977,1.95000004768372,1.98000001907349,133802300,1.98000001907349,2010-04-05,"Middle East","UAE","DFM General Index","Dubai Financial Market (DFM)","ae",3.12500329843419
