"region","country","index","market","year","open","high","low","close","volume","adjust","yearly_return_rate","ave_daily_return_rate","inflation_rate","average_annual_growth_rate","real_annual_average_growth_rate","real_yearly_return_rate"
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2005,9190.099609375,11296.7998046875,8952.7998046875,11272.2998046875,31566608300,11272.2998046875,22.6569926749043,0.0812051726358238,2.21355203439767,6.02501072014194,3.72891716399955,20.000714419578
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2006,11304.599609375,13053.2001953125,10860.7001953125,12908.400390625,45969682000,12908.400390625,14.1871524571286,0.0573871416797483,2.00202539534161,6.02501072014194,3.94402494382633,11.9459657928945
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2007,12924.5,14646.7998046875,12412.599609375,13833.099609375,53211723500,13833.099609375,7.03005616755,0.0313830011413995,2.13838399266837,6.02501072014194,3.80525574768498,4.78925941811723
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2008,13907.7001953125,15154.7998046875,7647.10009765625,8987.7001953125,63285759100,8987.7001953125,-35.3760861314673,-0.140462041946876,2.37027067444299,6.02501072014194,3.57011857214065,-36.8723815588521
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2009,8951.900390625,11816.2998046875,7480,11746.099609375,52590218300,11746.099609375,31.2134753161045,0.12018995311604,0.299466803009299,6.02501072014194,5.70844900738881,30.8217077303224
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2010,11847.2998046875,13493.599609375,10990.400390625,13443.2001953125,48272697600,13443.2001953125,13.4705833137908,0.0570816092491694,1.77687154092627,6.02501072014194,4.17397304013949,11.4895571025311
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2011,13530.400390625,14329.5,10848.2001953125,11955.099609375,54298576700,11955.099609375,-11.6426767558298,-0.0402260708218274,2.91213508872351,6.02501072014194,3.02478967007607,-14.1429500340316
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2012,12097.2001953125,12788.599609375,11209.599609375,12433.5,44907590700,12433.5,2.77998048521849,0.0184356455367473,1.51567823124517,6.02501072014194,4.44200597135829,1.24542560912939
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2013,12571.7998046875,13644.2998046875,11759,13621.599609375,29640418200,13621.599609375,8.35043367693521,0.0383140276225306,0.938291897815317,6.02501072014194,5.03943421935074,7.34324074616159
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2014,13621.400390625,15685.099609375,13450.2998046875,14632.400390625,45293416900,14632.400390625,7.42214435379072,0.0305701505874453,1.90663590717861,6.02501072014194,4.0413215256311,5.41231529969834
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2015,14637.2998046875,15524.7998046875,12617.7001953125,13010,50750180600,13010,-11.117486328772,-0.0427754003427721,1.12524136094277,6.02501072014194,4.84524861771218,-12.1065003405205
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2016,12920.599609375,15432.599609375,11531.2001953125,15287.599609375,57196405800,15287.599609375,18.3195832357698,0.0673939351940167,1.42875954701085,6.02501072014194,4.53150683658001,16.6528938776287
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2017,15366.7998046875,16232.2001953125,14915.7998046875,16209.099609375,48673226700,16209.099609375,5.48129614098678,0.0244697318291749,1.59688412852977,6.02501072014194,4.35852598196829,3.82335742456714
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2018,16213.400390625,16586.5,13776.900390625,14322.900390625,56063278500,14322.900390625,-11.6601080245519,-0.0470953897742867,2.26822567248103,6.02501072014194,3.67346262532431,-13.6194146377773
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2019,14163.900390625,17230.599609375,14112.7998046875,17063.400390625,54138678500,17063.400390625,20.4710561359155,0.0708388487448913,1.94926902411593,6.02501072014194,3.99781355476114,18.1676507238304
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2020,17131.599609375,17970.5,11172.7001953125,17433.400390625,69938675200,17433.400390625,1.76166142176732,0.0303667390627883,0.716999632307827,6.02501072014194,5.27022360397185,1.03722489080622
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2021,17583.400390625,21796.19921875,17297.80078125,21222.80078125,57768045700,21222.80078125,20.6979327648447,0.0805703183316668,3.39519318527528,6.02501072014194,2.54346208353637,16.7345686453377
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2022,21335.599609375,22213.099609375,17873.19921875,19384.900390625,66681165700,19384.900390625,-9.14293131885007,-0.0309098226841844,6.80280115341613,6.02501072014194,-0.728249095411782,-14.9300695300688
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2023,19531.400390625,21091.099609375,18692.099609375,20958.400390625,55668647300,20958.400390625,7.30618374238518,0.0337964033091829,3.87900159788426,6.02501072014194,2.06587384288202,3.29920589511203
"North America","Canada","S&P/TSX Composite Index","Toronto Stock Exchange (TSX)",2024,20904.30078125,25843.19921875,20466.5,24727.900390625,57746401300,24727.900390625,18.290971075218,0.0677055393562275,2.38158383281173,6.02501072014194,3.55867408076036,15.5393056512841
