"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
2826.80004882812,2826.80004882812,2814.60009765625,2826.39990234375,0,2826.39697265625,1993-07-12,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",NA
2826.39990234375,2843.69995117188,2820.89990234375,2843.39990234375,0,2843.39697265625,1993-07-13,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.601472481200098
2845.39990234375,2858.39990234375,2845.39990234375,2851.10009765625,0,2851.09716796875,1993-07-14,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.270809717621195
2848.69995117188,2848.69995117188,2835,2843.69995117188,0,2843.69702148438,1993-07-15,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",-0.259554341658836
2843.69995117188,2848,2818.80004882812,2830.5,0,2830.4970703125,1993-07-16,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",-0.464182754778313
2825.19995117188,2825.19995117188,2817.39990234375,2822.19995117188,0,2822.19702148438,1993-07-19,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",-0.293236439464275
2829.5,2840.5,2829.5,2840,0,2839.9970703125,1993-07-20,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.630716023460432
2832.30004882812,2832.30004882812,2819,2830.5,0,2830.4970703125,1993-07-21,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",-0.334507387324687
2830.5,2849.89990234375,2814.10009765625,2838.89990234375,0,2838.89697265625,1993-07-22,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.296764212613109
2844.69995117188,2866,2844.69995117188,2855.89990234375,0,2855.89697265625,1993-07-23,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.598824126544252
2861.39990234375,2877.10009765625,2861.39990234375,2873,0,2872.9970703125,1993-07-26,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.598764514965864
2873,2878.10009765625,2857.80004882812,2876.60009765625,0,2876.59716796875,1993-07-27,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.125308086577979
2896.30004882812,2913.80004882812,2896.30004882812,2901.89990234375,0,2901.89697265625,1993-07-28,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.879504609446756
2901.89990234375,2963.80004882812,2892.39990234375,2963.19995117188,0,2963.19702148438,1993-07-29,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",2.11241299762665
2973.69995117188,3044.5,2973.69995117188,2981.19995117188,0,2981.19702148438,1993-07-30,"Europe","Spain","IBEX 35","Madrid Stock Exchange","es",0.607452014479386
