"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
24402,24402,24402,24402,0,24402,1997-12-31,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",NA
NA,NA,NA,NA,NA,NA,1998-01-01,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",NA
24914,24914,24914,24914,0,24914,1998-01-02,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",NA
25734,25734,25734,25734,0,25734,1998-01-05,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",3.29132214818977
25734,25734,25734,25734,0,25734,1998-01-06,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0
25961,25961,25961,25961,0,25961,1998-01-07,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.882101499961141
25675,25675,25675,25675,0,25675,1998-01-08,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.10165247871808
25773,25773,25773,25773,0,25773,1998-01-09,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.381694255111977
25731,25731,25731,25731,0,25731,1998-01-12,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.162961238505413
26066,26066,26066,26066,0,26066,1998-01-13,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.30193152228829
26219,26219,26219,26219,0,26219,1998-01-14,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.586971533798818
26300,26300,26300,26300,0,26300,1998-01-15,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.308936267592204
26683,26683,26683,26683,0,26683,1998-01-16,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.45627376425856
26381,26381,26381,26381,0,26381,1998-01-19,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.13180676835438
26803,26803,26803,26803,0,26803,1998-01-20,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.59963610173989
26483,26483,26483,26483,0,26483,1998-01-21,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.19389620564862
26703,26703,26703,26703,0,26703,1998-01-22,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.830721594985462
26368,26368,26368,26368,0,26368,1998-01-23,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.25454068831217
26500,26500,26500,26500,0,26500,1998-01-26,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.500606796116505
26754,26754,26754,26754,0,26754,1998-01-27,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.958490566037736
26966,26966,26966,26966,0,26966,1998-01-28,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.792404874037527
27191,27191,27191,27191,0,27191,1998-01-29,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.834384039160424
27549,27549,27549,27549,0,27549,1998-01-30,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.31661211430253
27737,27737,27737,27737,0,27737,1998-02-02,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.682420414534103
27525,27525,27525,27525,0,27525,1998-02-03,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.764322024732307
27920,27920,27920,27920,0,27920,1998-02-04,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.43505903723887
28206,28206,28206,28206,0,28206,1998-02-05,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.0243553008596
28389,28389,28389,28389,0,28389,1998-02-06,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.64879812805786
28267,28267,28267,28267,0,28267,1998-02-09,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.429743914896615
28708,28708,28708,28708,0,28708,1998-02-10,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.56012311175576
28923,28923,28923,28923,0,28923,1998-02-11,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.748920161627421
28464,28464,28464,28464,0,28464,1998-02-12,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.58697230577741
28477,28477,28477,28477,0,28477,1998-02-13,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.0456717256885891
28613,28613,28613,28613,0,28613,1998-02-16,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.477578396600766
28945,28945,28945,28945,0,28945,1998-02-17,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",1.16031174640897
28701,28701,28701,28701,0,28701,1998-02-18,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.842978061841423
28247,28247,28247,28247,0,28247,1998-02-19,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.58182641719801
27847,27847,27847,27847,0,27847,1998-02-20,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-1.4160795836726
27759,27759,27759,27759,0,27759,1998-02-23,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.31601249685783
27774,27774,27774,27774,0,27774,1998-02-24,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.0540365286933967
28564,28564,28564,28564,0,28564,1998-02-25,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",2.84438683660978
28591,28591,28591,28591,0,28591,1998-02-26,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.0945245763898614
28543,28543,28543,28543,0,28543,1998-02-27,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.167884998775839
29299,29299,29299,29299,0,29299,1998-03-02,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",2.64863539221525
29431,29431,29431,29431,0,29431,1998-03-03,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",0.450527321751596
29262,29262,29262,29262,0,29262,1998-03-04,"Europe","Italy","FTSE MIB","Italian Stocks Exchange","it",-0.574224457204988
