"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
705.989990234375,709.47998046875,704.429992675781,704.679992675781,28000,704.679992675781,1996-12-11,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
705.109985351562,706.010009765625,688.739990234375,689.380004882812,25900,689.380004882812,1996-12-12,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.1711965646807
690.440002441406,695.719970703125,677.640014648438,689.070007324219,26500,689.070007324219,1996-12-13,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.0449675877452301
686.969970703125,686.969970703125,667.710021972656,673.919982910156,22800,673.919982910156,1996-12-16,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.19861904494911
675.349975585938,680.090026855469,660.390014648438,663.349975585938,31600,663.349975585938,1996-12-17,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.56843654918419
662.070007324219,671.429992675781,655.469970703125,661.390014648438,31500,661.390014648438,1996-12-18,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.295464085269433
668.130004882812,690.969970703125,668.130004882812,690.969970703125,30400,690.969970703125,1996-12-19,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",4.47239229494729
695.330017089844,703.510009765625,692.469970703125,700.869995117188,30000,700.869995117188,1996-12-20,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.43277202104577
691.97998046875,697.119995117188,684.809997558594,684.809997558594,21500,684.809997558594,1996-12-23,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.29143745209245
683.109985351562,687.059997558594,677.559997558594,677.760009765625,23800,677.760009765625,1996-12-24,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.029480851346
NA,NA,NA,NA,NA,NA,1996-12-25,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
676.210021972656,676.210021972656,655.239990234375,659.010009765625,25500,659.010009765625,1996-12-26,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
654.820007324219,657.039978027344,643.570007324219,651.219970703125,35100,651.219970703125,1996-12-27,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.18208205445476
NA,NA,NA,NA,NA,NA,1996-12-30,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
NA,NA,NA,NA,NA,NA,1996-12-31,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
NA,NA,NA,NA,NA,NA,1997-01-01,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
NA,NA,NA,NA,NA,NA,1997-01-02,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
647.669982910156,655.700012207031,635.409973144531,653.789978027344,13900,653.789978027344,1997-01-03,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
637.97998046875,637.97998046875,625.010009765625,626.869995117188,17600,626.869995117188,1997-01-06,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-4.11752761817808
622.450012207031,627.609985351562,609.119995117188,611.049987792969,24100,611.049987792969,1997-01-07,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.52365042950594
608.530029296875,623.390014648438,600.559997558594,621.409973144531,34200,621.409973144531,1997-01-08,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.69543990811315
619.099975585938,640.809997558594,612.409973144531,639.869995117188,36100,639.869995117188,1997-01-09,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",2.97066715541154
637.989990234375,653.590026855469,636.809997558594,648.690002441406,36500,648.690002441406,1997-01-10,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.37840614367352
659.809997558594,664.950012207031,655.739990234375,659.539978027344,28700,659.539978027344,1997-01-13,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.67259793508495
656.669982910156,687.659973144531,656.669982910156,686.590026855469,36600,686.590026855469,1997-01-14,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",4.10135090052169
690.179992675781,699.760009765625,686.02001953125,699.760009765625,42000,699.760009765625,1997-01-15,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.91817276613728
701.640014648438,711.960021972656,694.390014648438,711.859985351562,47300,711.859985351562,1997-01-16,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.72916077184665
713.070007324219,720.409973144531,695.77001953125,701.179992675781,48200,701.179992675781,1997-01-17,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.50029400381408
697.559997558594,720.690002441406,697.559997558594,718.460021972656,43000,718.460021972656,1997-01-20,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",2.46442132938398
721.039978027344,721.789978027344,690.539978027344,690.539978027344,44300,690.539978027344,1997-01-21,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-3.8860956895908
686.710021972656,686.890014648438,671.909973144531,678.940002441406,36700,678.940002441406,1997-01-22,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.67984127712272
679.340026855469,685.140014648438,672.72998046875,676.909973144531,31000,676.909973144531,1997-01-23,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.298999806989601
669.030029296875,679.559997558594,658.179992675781,679.559997558594,35500,679.559997558594,1997-01-24,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.391488457726812
684.309997558594,685.460021972656,664.679992675781,664.700012207031,28300,664.700012207031,1997-01-27,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.18670689930969
661.659973144531,677.630004882812,653.419982910156,662.849975585938,30400,662.849975585938,1997-01-28,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.278326551394365
663.330017089844,672.900024414062,654.950012207031,663.559997558594,30200,663.559997558594,1997-01-29,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.107116542024251
663.650024414062,679.039978027344,662.27001953125,676.52001953125,28800,676.52001953125,1997-01-30,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.95310477128511
678.190002441406,687.989990234375,678.169982910156,685.840026855469,32000,685.840026855469,1997-01-31,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.37763954578557
682.260009765625,696.210021972656,681.010009765625,687.25,27300,687.25,1997-02-03,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.205583385238666
687.840026855469,696.239990234375,687.840026855469,695.950012207031,33100,695.950012207031,1997-02-04,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.26591665435158
698.179992675781,708.200012207031,697.950012207031,698.599975585938,38600,698.599975585938,1997-02-05,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.380769212217204
698.539978027344,704.440002441406,693.820007324219,700.219970703125,34100,700.219970703125,1997-02-06,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.231891665302273
NA,NA,NA,NA,NA,NA,1997-02-07,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
701.429992675781,709.799987792969,701.429992675781,709.789978027344,29300,709.789978027344,1997-02-10,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",NA
711.109985351562,713.880004882812,707.859985351562,713.429992675781,41400,713.429992675781,1997-02-11,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.512829817427666
714.820007324219,715.869995117188,708.719970703125,712.5,35300,712.5,1997-02-12,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.130355141405428
713.640014648438,726.130004882812,713.640014648438,716.710021972656,49800,716.710021972656,1997-02-13,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.590880276864035
717.289978027344,723.02001953125,715,721,39100,721,1997-02-14,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.598565374534057
720.419982910156,721.5,712.929992675781,712.929992675781,31500,712.929992675781,1997-02-17,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.11927979531467
712.619995117188,715.179992675781,703.989990234375,706.940002441406,30400,706.940002441406,1997-02-18,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.840193328365
708.640014648438,713.669982910156,706.580017089844,713.669982910156,31100,713.669982910156,1997-02-19,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.95198750184006
713.5,716.179992675781,707.830017089844,711.130004882812,35000,711.130004882812,1997-02-20,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.355903721351204
710.869995117188,711.75,686.710021972656,686.719970703125,30800,686.719970703125,1997-02-21,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-3.43256985531219
681.47998046875,686.940002441406,676.109985351562,676.590026855469,24100,676.590026855469,1997-02-24,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.4751200314277
676.72998046875,682.809997558594,670.409973144531,682.809997558594,25300,682.809997558594,1997-02-25,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.919311615045974
683.590026855469,691.27001953125,679.659973144531,679.710021972656,29900,679.710021972656,1997-02-26,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.454002665019778
678.109985351562,679.799987792969,668.710021972656,669.409973144531,30300,669.409973144531,1997-02-27,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.51535927015349
669.010009765625,679.070007324219,664.75,676.530029296875,37800,676.530029296875,1997-02-28,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.06363162157527
677.179992675781,684.440002441406,677.179992675781,679.640014648438,27000,679.640014648438,1997-03-03,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.459696571753769
679.510009765625,683.320007324219,675.820007324219,679.969970703125,28100,679.969970703125,1997-03-04,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.0485486503996059
680.47998046875,684.549987792969,673.630004882812,674.900024414062,38800,674.900024414062,1997-03-05,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.745613263453371
675.25,685.950012207031,675.25,678.109985351562,41300,678.109985351562,1997-03-06,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.475620213569682
679.830017089844,685.260009765625,679.830017089844,681.219970703125,37400,681.219970703125,1997-03-07,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.458625506001087
673.909973144531,674.289978027344,667.289978027344,667.349975585938,29400,667.349975585938,1997-03-10,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.036052334589
665.830017089844,665.830017089844,654.919982910156,655.950012207031,29800,655.950012207031,1997-03-11,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.70824361968351
655.760009765625,663.900024414062,655.070007324219,663.900024414062,30000,663.900024414062,1997-03-12,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.21198445904168
663.909973144531,666.260009765625,656.859985351562,657.900024414062,32100,657.900024414062,1997-03-13,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.903750531609848
657.72998046875,657.97998046875,641.830017089844,642.080017089844,27600,642.080017089844,1997-03-14,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.40462178707294
642.169982910156,658.940002441406,641.039978027344,658.900024414062,28400,658.900024414062,1997-03-17,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",2.61961233437128
659.72998046875,663.700012207031,653.25,657.969970703125,30500,657.969970703125,1997-03-18,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.141152477838283
656.900024414062,656.900024414062,643.039978027344,646.289978027344,33000,646.289978027344,1997-03-19,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.77515588793508
642.72998046875,646.72998046875,630.369995117188,642.859985351562,34100,642.859985351562,1997-03-20,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.530720387503229
640.52001953125,640.52001953125,626.390014648438,627.630004882812,34200,627.630004882812,1997-03-21,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-2.36909759757735
622.140014648438,622.390014648438,607.869995117188,617.260009765625,36200,617.260009765625,1997-03-24,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.65224655234954
616.109985351562,638.900024414062,614.989990234375,638.900024414062,43000,638.900024414062,1997-03-25,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",3.50581834333545
640.450012207031,656.780029296875,637.359985351562,656.619995117188,44000,656.619995117188,1997-03-26,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",2.77351229081202
657.099975585938,665.570007324219,651.590026855469,651.650024414062,45600,651.650024414062,1997-03-27,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.756902126052072
652.880004882812,661.549987792969,650.719970703125,652.869995117188,40700,652.869995117188,1997-03-28,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.187212561562005
670.75,678.760009765625,670.75,677.340026855469,44000,677.340026855469,1997-03-31,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",3.74807112002275
678.969970703125,688.119995117188,672.070007324219,672.989990234375,38600,672.989990234375,1997-04-01,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.642223469545816
672.820007324219,683.320007324219,668.719970703125,678.859985351562,36300,678.859985351562,1997-04-02,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.872226214708367
680.140014648438,689.119995117188,676.440002441406,678.739990234375,41700,678.739990234375,1997-04-03,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-0.0176759743948316
679.880004882812,688.059997558594,679.140014648438,687.419982910156,40600,687.419982910156,1997-04-04,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.27883914321653
688.880004882812,699.02001953125,688.880004882812,694.900024414062,40700,694.900024414062,1997-04-07,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",1.08813268305642
695.349975585938,699.070007324219,687.869995117188,694.969970703125,40100,694.969970703125,1997-04-08,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.010065662196728
695.859985351562,699.700012207031,694.549987792969,698.659973144531,43800,698.659973144531,1997-04-09,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.530958544535809
698.880004882812,700.059997558594,688.039978027344,688.039978027344,46100,688.039978027344,1997-04-10,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",-1.5200520318044
688.390014648438,693.940002441406,682.469970703125,693.940002441406,44200,693.940002441406,1997-04-11,"Asia","South Korea","KOSPI","Korea Stock Exchange","kr",0.857511860136131
