"region","country","index","market","year","open","high","low","close","volume","adjust","yearly_return_rate","ave_daily_return_rate","inflation_rate","average_annual_growth_rate","real_annual_average_growth_rate","real_yearly_return_rate"
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2008,514.679992675781,518.27001953125,220.119995117188,245.940002441406,41453544100,245.940002441406,-52.2149673697663,-0.254040054702574,2.48650198289454,4.92830686193972,2.38256241729544,-53.3743159287365
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2009,248.970001220703,338.220001220703,194.990005493164,335.329986572266,28249258100,335.329986572266,34.6869040158005,0.136828469923092,1.1897768702155,4.92830686193972,3.694572818872,33.1032720711973
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2010,336.959991455078,358.799987792969,301.480010986328,356.359985351562,26140702400,356.359985351562,5.75735825867941,0.0314996405405239,1.27530569556683,4.92830686193972,3.60700087872734,4.42561247515323
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2011,357.910003662109,374.190002441406,256.359985351562,312.470001220703,26533213200,312.470001220703,-12.695929696423,-0.0407950796494366,2.34107017751373,4.92830686193972,2.52805318523479,-14.6930258281006
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2013,348.529998779297,401.950012207031,330.980010986328,401.790008544922,27474267300,401.790008544922,15.2813272751742,0.0656448126437763,2.50689852657885,4.92830686193972,2.36219061367173,12.4620185882251
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2014,403.369995117188,432.220001220703,366.839996337891,424.470001220703,22564424600,424.470001220703,5.23093099609098,0.0253849196665381,0.976035079699679,4.92830686193972,3.91406909483081,4.21376806192968
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2015,425.890014648438,510.549987792969,401.869995117188,446.190002441406,25460836000,446.190002441406,4.76648596932378,0.0285410273556091,0.600248147278776,4.92830686193972,4.30223463099682,4.14137926970681
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2016,436.970001220703,484.209991455078,378.529998779297,483.170013427734,27311632500,483.170013427734,10.572810965963,0.0382483273287043,0.316666666666743,4.92830686193972,4.59708276651236,10.2237690306991
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2017,481.160003662109,557.429992675781,476.709991455078,544.580017089844,22459032000,544.580017089844,13.1806494606876,0.0484456182581712,1.38145871407206,4.92830686193972,3.49851757200583,11.6384109049891
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2018,545.239990234375,576.900024414062,472.190002441406,487.880004882812,22394507600,487.880004882812,-10.5201354227348,-0.039585641512337,1.7034979474447,4.92830686193972,3.17079449534905,-12.0188917951437
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2019,479.910003662109,612.489990234375,477.049987792969,604.580017089844,18919584000,604.580017089844,25.9777901015606,0.0868866530815305,2.63369910249601,4.92830686193972,2.23572547760575,22.7450546976308
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2020,608.010009765625,633.119995117188,389.600006103516,624.609985351562,23643237200,624.609985351562,2.73021419373284,0.0286387363985874,1.27246037789161,4.92830686193972,3.60991178688319,1.43943754343649
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2021,632.02001953125,829.659973144531,628.97998046875,797.929992675781,4179251600,797.929992675781,26.2507464981223,0.098973637271949,2.67572008805385,4.92830686193972,2.19388456390086,22.9606633290233
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2022,802.5,812.549987792969,611.739990234375,689.010009765625,4166359300,689.010009765625,-14.142054857866,-0.0478906497291029,10.0012078753473,4.92830686193972,-4.61167755462846,-21.9481796605109
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2023,697.109985351562,798.090026855469,694.630004882812,786.820007324219,3245277900,786.820007324219,12.8688476506923,0.0551321064002531,3.83839354342808,4.92830686193972,1.04962459579636,8.69664273406492
"Europe","The Netherlands","AEX","Amsterdam stock exchange",2024,790.690002441406,949.140014648438,766.659973144531,878.630004882812,11929922700,878.630004882812,11.1219317519982,0.0459787327247672,3.34754304219953,4.92830686193972,1.52956110344562,7.52256752405251
