"country","benchmark","years_total","years_outperformed","pct_outperformed","avg_outperformance"
"India","All",7,6,85.7142857142857,14.1987015025732
"Germany","All",16,12,75,4.19844733374111
"Taiwan","All",12,8,66.6666666666667,4.33414077691219
"Canada","All",20,13,65,1.24186629311828
"The Netherlands","All",16,10,62.5,1.8728763104536
"Japan","All",15,9,60,4.54490954784187
"Indonesia","All",9,5,55.5555555555556,5.80278524525733
"Singapore","All",9,5,55.5555555555556,-0.099488979451033
"Spain","All",15,8,53.3333333333333,-2.46139918229726
"France","All",16,7,43.75,-2.11635101810638
"Malaysia","All",10,4,40,-1.99596917906988
"South Korea","All",14,5,35.7142857142857,-0.892967927609391
"United Kingdom","All",17,6,35.2941176470588,-1.8014053761852
"China","All",16,5,31.25,2.90579838073874
"Italy","All",18,5,27.7777777777778,-3.948631702135
"USA","All",20,5,25,-11.644392969881
"Saudi Arabia","All",1,0,0,-1.54421947955452
