"country","benchmark","years_total","years_outperformed","pct_outperformed","avg_outperformance"
"India","Asia8",7,5,71.4285714285714,3.19828999968005
"Indonesia","Asia8",9,6,66.6666666666667,4.43388608947527
"Taiwan","Asia8",12,8,66.6666666666667,3.11049953366948
"Japan","Asia8",15,9,60,3.0685008086664
"Singapore","Asia8",9,4,44.4444444444444,-0.809198590491535
"South Korea","Asia8",14,5,35.7142857142857,-4.56787629313138
"Malaysia","Asia8",10,3,30,-2.60660419371042
"China","Asia8",16,4,25,-3.02171337385626
"Germany","Euro7",16,13,81.25,5.09994893206675
"The Netherlands","Euro7",16,12,75,2.46433759892137
"Spain","Euro7",15,9,60,-1.16045603392784
"United Kingdom","Euro7",17,5,29.4117647058824,-1.53099762110802
"France","Euro7",16,4,25,-0.747568727291766
"Italy","Euro7",18,4,22.2222222222222,-3.64631582174376
