"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
43991.73046875,44162.1796875,43507.5390625,44162.1796875,0,44162.1796875,2013-04-30,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
NA,NA,NA,NA,NA,NA,2013-05-01,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
44103.66015625,44312.359375,43991.51171875,43991.51171875,0,43991.51171875,2013-05-02,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
NA,NA,NA,NA,NA,NA,2013-05-03,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
44248.91015625,44541.73046875,44102.6015625,44541.73046875,0,44541.73046875,2013-05-06,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
44493.83984375,44870.26953125,44446.890625,44742.21875,0,44742.21875,2013-05-07,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.450113363670638
44855.80078125,45117.94140625,44818.03125,45117.94140625,0,45117.94140625,2013-05-08,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.83974971905031
45229,45267.71875,44853.9296875,44943.16015625,0,44943.16015625,2013-05-09,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.38738746616615
44949.76171875,45064.609375,44787.578125,44895.3515625,0,44895.3515625,2013-05-10,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.106375683382717
44886.6015625,45207.83984375,44865.890625,45207.83984375,0,45207.83984375,2013-05-13,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.696037051441677
45300.28125,45806.73828125,45142.41015625,45771.109375,0,45771.109375,2013-05-14,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",1.24595542099956
46021.41015625,46102.421875,45742.3515625,46102.421875,0,46102.421875,2013-05-15,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.723846340025487
46095.328125,46142.73828125,45854.66015625,45992.03125,0,45992.03125,2013-05-16,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.23944647701873
45928.76171875,46197.8203125,45869.7109375,46078.6796875,0,46078.6796875,2013-05-17,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.188398805499594
46213.8203125,46527.01953125,46041.03125,46041.3515625,0,46041.3515625,2013-05-20,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.0810095368468776
46207.4296875,46303.41015625,45825.9609375,45851.80078125,0,45851.80078125,2013-05-21,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.411696822133228
46039.01171875,46085.62109375,45826.30859375,45933.66015625,0,45933.66015625,2013-05-22,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.178530338187883
45260.28125,45746.16015625,45167.71875,45687.76171875,0,45687.76171875,2013-05-23,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.5353338633663
45786.9296875,46273.73046875,45786.9296875,46145.44140625,0,46145.44140625,2013-05-24,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",1.00175554739897
47458.859375,47841.390625,47343.19140625,47579.87109375,0,47579.87109375,2013-05-28,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",3.10849705580174
47482.80078125,47663.19921875,47338.37109375,47476.640625,0,47476.640625,2013-05-29,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-0.216962480933582
NA,NA,NA,NA,NA,NA,2013-05-30,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
47317.9296875,47806.33984375,47317.9296875,47806.33984375,0,47806.33984375,2013-05-31,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",NA
47398.140625,47564.28125,47084.75,47175.7890625,0,47175.7890625,2013-06-03,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",-1.31896895539564
47326.55859375,47640.94921875,47326.55859375,47620.6796875,0,47620.6796875,2013-06-04,"Europe","Poland","WIG","Warsaw Stock Exchange (WSE)","pl",0.943048614217336
