"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
16383.1201171875,16383.1201171875,15577.0498046875,15861.5400390625,0,15861.5400390625,2006-03-22,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
15862.400390625,15900.58984375,15096.919921875,15895.1103515625,0,15895.1103515625,2006-03-23,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",0.211645984042696
NA,NA,NA,NA,NA,NA,2006-03-26,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
14945.990234375,15583.6396484375,14785.5595703125,15547.7900390625,0,15547.7900390625,2006-03-27,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
15547.7900390625,16315.0595703125,15547.7900390625,16315.0595703125,0,16315.0595703125,2006-03-28,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",4.9349105520611
16315.0595703125,17105.140625,16315.0595703125,17060.33984375,0,17060.33984375,2006-03-29,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",4.56805119359564
17060.33984375,17060.33984375,17060.33984375,17060.33984375,0,17060.33984375,2006-03-30,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",0
NA,NA,NA,NA,NA,NA,2006-04-02,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
17216.23046875,17519.5390625,17091.94921875,17293.509765625,0,17293.509765625,2006-04-03,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
17293.509765625,17682.619140625,17232.7109375,17674.4296875,0,17674.4296875,2006-04-04,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",2.20267561089403
17674.4296875,17944.720703125,17581.5,17665.0703125,0,17665.0703125,2006-04-05,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",-0.0529543253473083
17665.0703125,17665.0703125,17665.0703125,17665.0703125,0,17665.0703125,2006-04-06,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",0
NA,NA,NA,NA,NA,NA,2006-04-09,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
17557.01953125,17557.01953125,15932.3603515625,16099.0595703125,0,16099.0595703125,2006-04-10,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
16099.0595703125,16284.1201171875,14662.599609375,15130.759765625,0,15130.759765625,2006-04-11,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",-6.01463582676031
15130.759765625,16028.26953125,14540.7900390625,15694.83984375,0,15694.83984375,2006-04-12,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",3.72803538528523
15694.83984375,15694.83984375,15694.83984375,15694.83984375,0,15694.83984375,2006-04-13,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",0
NA,NA,NA,NA,NA,NA,2006-04-16,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
14784.2802734375,14966.0595703125,13779.58984375,14203.740234375,0,14203.740234375,2006-04-17,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
14203.740234375,14203.740234375,12801.5,13121.330078125,0,13121.330078125,2006-04-18,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",-7.62059949273374
13121.330078125,13902.330078125,12419.080078125,13261.8896484375,0,13261.8896484375,2006-04-19,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",1.071229589345
13261.8896484375,13261.8896484375,13261.8896484375,13261.8896484375,0,13261.8896484375,2006-04-20,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",0
NA,NA,NA,NA,NA,NA,2006-04-23,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
12076.740234375,12629.099609375,11579.66015625,12611.740234375,0,12611.740234375,2006-04-24,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
12611.740234375,13720.2001953125,12433.8095703125,13637.080078125,0,13637.080078125,2006-04-25,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",8.13004252145392
13637.080078125,13900,13404.419921875,13817.9404296875,0,13817.9404296875,2006-04-26,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",1.32623956540825
13817.9404296875,13957.1396484375,13271.73046875,13574.990234375,0,13574.990234375,2006-04-27,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",-1.7582229171471
NA,NA,NA,NA,NA,NA,2006-04-30,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
13043.3701171875,13464.849609375,13042.3203125,13417.5595703125,0,13417.5595703125,2006-05-01,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",NA
13417.5595703125,13501.2001953125,12742.26953125,13000.6396484375,0,13000.6396484375,2006-05-02,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",-3.10727088402477
13000.6396484375,13088.16015625,12483.6796875,13053.3203125,0,13053.3203125,2006-05-03,"Middle East","Saudi Arabia","Tadawul All Share Index (TASI)","Saudi Stock Exchange (Tadawul)","sa",0.405215939269815
