"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
9094.26953125,9124.2998046875,8988.1298828125,8996.7197265625,0,8996.6787109375,1997-07-02,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",NA
9061.599609375,9061.599609375,8997.509765625,9027.6298828125,0,9027.5888671875,1997-07-03,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",0.343572970016387
9144.9599609375,9218.2099609375,9119.25,9192.5703125,0,9192.5283203125,1997-07-04,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",1.82705986672149
9365.1904296875,9370.41015625,9304.8203125,9322.83984375,0,9322.7978515625,1997-07-07,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",1.41712406762073
9345.5498046875,9371.5,9282.099609375,9305.26953125,0,9305.2275390625,1997-07-08,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-0.18846608904059
9391.2802734375,9415.580078125,9343.2998046875,9362.6796875,0,9362.6376953125,1997-07-09,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",0.616966710475347
9470.9296875,9511.7998046875,9420.7099609375,9429.740234375,0,9429.6982421875,1997-07-10,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",0.716256989294529
9498.0703125,9526.740234375,9333.7900390625,9394.6298828125,0,9394.587890625,1997-07-11,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-0.372338018256193
9626.33984375,9626.33984375,9561.080078125,9593.5400390625,0,9593.49609375,1997-07-14,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",2.11726374206891
9714.7802734375,9714.7802734375,9451.4501953125,9555.98046875,0,9555.9375,1997-07-15,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-0.391500589388563
9634.7900390625,9648.4296875,9482.4501953125,9544.5595703125,0,9544.5166015625,1997-07-16,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-0.119516252984074
9742.580078125,9889.4501953125,9571.7998046875,9571.7998046875,0,9571.755859375,1997-07-17,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",0.285391696086953
9669.740234375,9677.400390625,9555.98046875,9677.400390625,0,9677.3564453125,1997-07-18,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",1.10325197893624
9814.25,9896.73046875,9750.7001953125,9833.76953125,0,9833.724609375,1997-07-21,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",1.61581486582776
9877.3896484375,9877.3896484375,9543.759765625,9550.400390625,0,9550.357421875,1997-07-22,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-2.88158555131645
9694.2802734375,9694.2802734375,9345.900390625,9381.0595703125,0,9381.017578125,1997-07-23,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-1.77312571948489
9500.8603515625,9632.419921875,9475.5400390625,9632.419921875,0,9632.3759765625,1997-07-24,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",2.67943638676924
9719.0595703125,9819.76953125,9710.26953125,9808.91015625,0,9808.865234375,1997-07-25,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",1.83225050851351
9929.98046875,9995.3701171875,9899.580078125,9923.0498046875,0,9923.00390625,1997-07-28,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",1.16362768931724
9980.1103515625,10057.9501953125,9892.33984375,9892.33984375,0,9892.294921875,1997-07-29,"Asia","Taiwan","TWSE","Taiwan Stock Exchange (TWSE)","tw",-0.309472662362432
